Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Maldives,624337145.3,870179738.6,897031250,1052121055,1226829563,1163362438,1575200391,1868383461,2271646188,2345294875,2588176055,2774351760,2886170572,3295011382,3697351597,4006531188,4222767413,4597083304
Mexico,707906744575,756706300590,772106378935,729336319677,782240601985,877476221382,975387131716,1052696282279,1109989038339,900045362045,1057801282051,1180489563964,1201090018604,1274443078609,1314385330073,1169622672463,1076912039691,1149918794766
Marshall Islands,110937700,115152100,124735100,126887600,131334600,137928600,143930000,150776500,152788700,152617500,164969100,173260300,185210500,190800800,183121300,179697900,194497900,199399247.1
Middle income,5522957996981,5608977649651,5888556745096,6627206396728,7856125990863,9368795237404,11150295461142,13845130470116,16610742666336,16227554245823,19853890540909,23450375132205,25031518436631,26533427022753,27544454671394,26005806125663,26157827164877,28682698960995
Macedonia,3772851420,3709637830,4018365247,4946292775,5682719260,6258600714,6861222332,8336478142,9909548411,9401731496,9407168702,10494632699,9745251126,10817712139,11362272838,10051659161,10745787406,11337827332
Mali,2954129566,3465305993,3889758024,4703504467,5444474268,6245031690,6899799786,8145694632,9750822511,10181021770,10678749467,12978107561,12442747897,13246412031,14388360064,13100058100,14034980334,15288163367
Malta,4306192436,4331870648,4689832690,5456583589,6062780269,6394851387,6757119558,7880509171,8977149553,8528202278,8741059603,9507645260,9209559296,10145114180,11234045376,10574026838,11279535398,12537750732
Myanmar,8905066164,6477790688,6777632512,10467109978,10567354056,11986972419,14502553710,20182477481,31862554102,36906181381,49540813342,59977326086,59937797559,60269734045,65446402659,59687373958,63225097051,69322122756
Montenegro,984297589.4,1159869246,1284685051,1707710053,2073234418,2257174481,2721904403,3680710375,4545674528,4159330370,4139192053,4538198499,4087724528,4464261816,4587926231,4052913386,4374130531,4774086094
Mongolia,1136896124,1267997934,1396555720,1595297356,1992066808,2523471532,3414055566,4234999823,5623216449,4583850368,7189481824,10409797649,12292770631,12582122604,12226514722,11749620620,11183458131,11488046881
Northern Mariana Islands,1284000000,1284000000,1284000000,1239000000,1210000000,1061000000,990000000,938000000,939000000,795000000,799000000,733000000,751000000,784000000,845000000,933000000,1242000000,1242000000
Mozambique,5016469069,4766928747,5031510909,5597367853,6831808930,7723846195,8312078525,9366742309,11494837053,10911698208,10154238250,13131168012,14534278446,16018848991,16961117243,14798399862,11014862242,12333859926
Mauritania,1293654175,1295539448,1324426607,1563074860,1833444740,2184445123,3040716679,3356757064,3978425881,3670515288,4343665075,5179690136,5225533500,5724227185,5391475277,4844223107,4739298311,5024705934
Mauritius,4582555125,4536538211,4767303154,5609831328,6385695187,6283803256,7028803366,8150138757,9990370016,9128843109,10003670690,11518393367,11668685524,12129642296,12803445934,11692287066,12232463656,13338147523
Malawi,1743506531,1716502862,3495748398,3208837077,3476094499,3655909664,3997852636,4432192844,5320925102,6190991712,6959697194,8003300198,6028470989,5518901971,6054750320,6373201160,5433038647,6303277591
Malaysia,93789736842,92783947368,100845263158,110202368421,124749736842,143534102611,162690965596,193547824063,230813597938,202257586268,255016609233,297951960784,314443149443,323277158907,338061963396,296434003329,296535930381,314500279044
Namibia,3908661518,3546783708,3361251198,4931312147,6606858786,7261333795,7978734402,8740865600,8486721917,8876191121,11282192605,12409629836,13016272899,12717790505,12786078008,11769045772,11309232188,13244597345
Niger,1798374468,1945327565,2170481509,2731416346,3052898739,3405134832,3646728060,4291363391,5403363917,5397121856,5718589799,6409169890,6942209336,7667949382,8229732168,7251323996,7606749314,8119732793
Nigeria,46386011231,44137994252,59116847822,67655813930,87845420504,112248353105,145429764861,166451213396,208064753766,169481317540,369062464570,411743801712,460953836444,514966287207,568498937588,481066152889,404652720165,375770713743
Nicaragua,5107329007,5323146566,5224213018,5322454926,5795568205,6321335612,6763671611,7423377429,8496965842,8298695145,8758622329,9774316692,10532001130,10982972256,11880438824,12611087031,13184989878,13814261536
Netherlands,412807259996,426573601790,465368906456,571863431151,650532654582,678533764457,726649102998,839419655078,936228211513,857932759100,836389937229,893757287202,828946812397,866680000367,879635084125,757999453314,777227541581,826200282501
Norway,171315639983,174003247439,195418347153,228752436372,264357494659,308722079938,345424664369,401082621083,462554432624,386622457580,429130952709,498831558926,510229136227,523502127660,499338534779,386663139403,371075238095,398831956478
